site,produto,preco
Estantevirtual,A paciente silenciosa,"R$ 24,90"
Estantevirtual,Kit A paciente silenciosa & grandes thrillers,"R$ 87,92"
Estantevirtual,A Paciente Silenciosa (usado),"R$ 39,90"
Estantevirtual,A Paciente Silenciosa,"R$ 39,90"
Estantevirtual,As Musas (mesmo Autor de a Paciente Silenciosa),"R$ 29,00"
Estantevirtual,A Paciente Silenciosa,"R$ 30,00"
Estantevirtual,A Paciente Silenciosa,"R$ 35,61"
Estantevirtual,A paciênte silenciosa,"R$ 35,00"
Estantevirtual,A PACIENTE SILENCIOSA,"R$ 33,00"
Estantevirtual,As Musas (mesmo Autor de a Paciente Silenciosa),"R$ 39,90"
dragonstorebrasil,A paciente silenciosa,"R$24,90"
dragonstorebrasil,A paciente silenciosa - AUDIOBOOK,"R$22,90"
dragonstorebrasil,A paciente silenciosa - EBOOK,"R$7,00"
dragonstorebrasil,O corpo fala: A linguagem silenciosa da comunicação não verbal (eBook ou Livro),"R$49,00"
dragonstorebrasil,A Força do Silêncio: Contra a ditadura do ruído (Edição Especial) - Quaresma - Frei Gilson,"R$55,90"
dragonstorebrasil,A música do silêncio - EBOOK,"R$15,00"
travessa,N/A,Scraping falhou / site com proteção anti-bot
Amazon,A paciente silenciosa,26
Amazon,Kit A paciente silenciosa & grandes thrillers,71
Amazon,Nunca minta,31
Amazon,"A cirurgiã - Um thriller psicológico eletrizante, repleto de reviravoltas.",21
livrariascuritiba,A Paciente Silenciosa,"R$ 41,90"
livrariascuritiba,As Musas,"R$ 45,40"
livrariascuritiba,A Governanta,"R$ 60,20"
livrariascuritiba,Pactos Mortais,"R$ 45,40"
livrariascuritiba,Eu Sei Quem Você É,"R$ 52,40"
livrariascuritiba,Alguém Que Você Conhece,"R$ 48,90"
livrariascuritiba,A Fúria,"R$ 42,50"
Audible,A paciente silenciosa,"R$ 39,99"
Audible,A viúva silenciosa,"R$ 45,99"
Audible,A inquilina silenciosa,"R$ 39,99"
Audible,La paciente silenciosa [The Silent Patient],"R$ 98,99"
